work_year,job_title,skills,experience_level,salary_usd,company_location,remote_ratio,industry
2022,AI Engineer,"Python, TensorFlow, Deep Learning",Entry,81037,Canada,75,Finance
2021,Business Analyst,"Python, NLP, PyTorch",Mid,85045,US,50,E-commerce
2024,Data Scientist,"Python, NLP, PyTorch",Senior,119816,Canada,25,Healthcare
2022,Software Engineer,"Python, TensorFlow, Deep Learning",Mid,83326,Germany,75,E-commerce
2020,Cloud Engineer,"Statistics, R, Data Visualization",Mid,132888,Canada,25,Cloud Services
2024,AI Engineer,"Python, NLP, PyTorch",Mid,111807,Australia,100,E-commerce
2020,Data Analyst,"Python, SQL, Machine Learning",Entry,63702,US,75,Finance
2022,Data Scientist,"Java, Spring Boot, Microservices",Senior,140354,Canada,75,E-commerce
2021,Business Analyst,"Python, SQL, Machine Learning",Mid,145716,Canada,25,Finance
2022,Data Analyst,"Python, SQL, Machine Learning",Entry,141324,Germany,75,Finance
2021,Data Scientist,"Python, TensorFlow, Deep Learning",Senior,68464,Germany,50,Finance
2024,ML Engineer,"Python, NLP, PyTorch",Mid,80048,Germany,0,Cloud Services
2020,Data Analyst,"SQL, Excel, Power BI",Mid,76885,US,0,IT
2021,Business Analyst,"AWS, Azure, Cloud Computing",Senior,111819,Australia,100,IT
2022,AI Engineer,"SQL, Excel, Power BI",Entry,65652,Canada,50,Healthcare
2024,Business Analyst,"Python, TensorFlow, Deep Learning",Entry,80214,UK,50,Cloud Services
2024,Software Engineer,"Java, Spring Boot, Microservices",Entry,134747,US,50,E-commerce
2022,Cloud Engineer,"Statistics, R, Data Visualization",Entry,75934,Canada,100,IT
2023,AI Engineer,"Java, Spring Boot, Microservices",Senior,114254,Germany,50,Healthcare
2023,Software Engineer,"Python, SQL, Machine Learning",Senior,74444,Germany,25,Cloud Services
2021,Business Analyst,"Python, TensorFlow, Deep Learning",Senior,111052,Germany,100,E-commerce
2020,Data Analyst,"Python, TensorFlow, Deep Learning",Senior,145250,India,25,Finance
2021,Business Analyst,"Statistics, R, Data Visualization",Senior,109751,UK,25,Finance
2023,Cloud Engineer,"Statistics, R, Data Visualization",Senior,78880,Canada,75,Healthcare
2024,Cloud Engineer,"AWS, Azure, Cloud Computing",Entry,92137,Australia,100,Healthcare
2021,Data Scientist,"Python, TensorFlow, Deep Learning",Senior,88816,Australia,0,Cloud Services
2023,Cloud Engineer,"SQL, Excel, Power BI",Senior,122837,Canada,0,E-commerce
2021,Data Analyst,"SQL, Excel, Power BI",Mid,123375,Australia,75,E-commerce
2024,Business Analyst,"Java, Spring Boot, Microservices",Senior,114293,UK,50,Finance
2021,Software Engineer,"Python, SQL, Machine Learning",Senior,119751,Australia,75,Cloud Services
2023,Data Scientist,"Java, Spring Boot, Microservices",Entry,61056,Germany,25,Finance
2024,ML Engineer,"Python, TensorFlow, Deep Learning",Mid,118277,UK,50,Healthcare
2023,Cloud Engineer,"Java, Spring Boot, Microservices",Entry,102644,Germany,25,Finance
2023,AI Engineer,"Java, Spring Boot, Microservices",Entry,138175,Germany,100,Finance
2022,Data Scientist,"Python, NLP, PyTorch",Entry,80527,Germany,75,Finance
2024,Data Analyst,"Python, NLP, PyTorch",Senior,123377,India,50,Cloud Services
2021,Data Scientist,"AWS, Azure, Cloud Computing",Mid,102071,Canada,75,IT
2022,Cloud Engineer,"Statistics, R, Data Visualization",Senior,142228,Australia,25,IT
2023,Cloud Engineer,"Python, SQL, Machine Learning",Senior,64755,US,0,Finance
2021,ML Engineer,"Java, Spring Boot, Microservices",Senior,119915,Canada,100,Finance
2023,Data Scientist,"SQL, Excel, Power BI",Entry,136315,India,0,Healthcare
2024,ML Engineer,"Python, SQL, Machine Learning",Mid,149093,Germany,75,Finance
2020,Data Analyst,"Statistics, R, Data Visualization",Mid,114550,India,25,Healthcare
2022,Data Scientist,"Python, NLP, PyTorch",Entry,109760,Canada,75,Cloud Services
2022,Software Engineer,"Java, Spring Boot, Microservices",Mid,81743,India,100,Cloud Services
2023,Software Engineer,"AWS, Azure, Cloud Computing",Entry,61157,Germany,75,Healthcare
2021,Data Scientist,"Python, NLP, PyTorch",Senior,105227,Germany,25,Healthcare
2020,Cloud Engineer,"Statistics, R, Data Visualization",Mid,97172,UK,100,Finance
2022,AI Engineer,"AWS, Azure, Cloud Computing",Senior,114907,UK,75,IT
2023,Business Analyst,"AWS, Azure, Cloud Computing",Entry,129872,US,0,Healthcare
2021,Cloud Engineer,"Statistics, R, Data Visualization",Mid,131434,India,50,IT
2023,Data Scientist,"Python, TensorFlow, Deep Learning",Senior,87673,UK,0,Finance
2021,Business Analyst,"Statistics, R, Data Visualization",Entry,83960,UK,100,IT
2024,AI Engineer,"AWS, Azure, Cloud Computing",Senior,124811,US,50,E-commerce
2023,Data Scientist,"Python, TensorFlow, Deep Learning",Mid,132488,Canada,100,Healthcare
2021,ML Engineer,"Python, SQL, Machine Learning",Senior,109008,Australia,100,IT
2024,Cloud Engineer,"AWS, Azure, Cloud Computing",Senior,113412,US,0,Healthcare
2023,Business Analyst,"AWS, Azure, Cloud Computing",Senior,98954,US,0,Finance
2020,Software Engineer,"Python, SQL, Machine Learning",Senior,146502,Canada,75,Cloud Services
2021,Business Analyst,"Statistics, R, Data Visualization",Entry,148789,UK,100,E-commerce
2020,Cloud Engineer,"Python, TensorFlow, Deep Learning",Entry,105230,India,75,IT
2022,Data Analyst,"Python, TensorFlow, Deep Learning",Entry,126653,Canada,100,Healthcare
2024,Business Analyst,"SQL, Excel, Power BI",Senior,75279,Germany,100,IT
2023,Data Analyst,"Statistics, R, Data Visualization",Mid,93123,Canada,75,Healthcare
2020,Cloud Engineer,"Python, NLP, PyTorch",Senior,74548,Canada,75,E-commerce
2023,Software Engineer,"Python, SQL, Machine Learning",Mid,73713,Canada,75,IT
2021,ML Engineer,"AWS, Azure, Cloud Computing",Senior,129626,Canada,100,E-commerce
2024,Cloud Engineer,"Python, TensorFlow, Deep Learning",Entry,72224,UK,75,E-commerce
2020,ML Engineer,"SQL, Excel, Power BI",Entry,149158,Germany,100,Healthcare
2020,AI Engineer,"Python, NLP, PyTorch",Mid,99222,UK,100,Cloud Services
2023,Cloud Engineer,"Statistics, R, Data Visualization",Senior,83600,Germany,75,E-commerce
2023,Data Analyst,"Statistics, R, Data Visualization",Senior,65686,India,50,E-commerce
2024,Data Analyst,"Statistics, R, Data Visualization",Senior,100580,Canada,0,Healthcare
2022,Cloud Engineer,"Python, NLP, PyTorch",Mid,115374,Australia,100,Cloud Services
2024,Data Analyst,"Python, TensorFlow, Deep Learning",Senior,71001,Australia,50,Healthcare
2022,ML Engineer,"SQL, Excel, Power BI",Senior,100760,Australia,75,Cloud Services
2020,Data Analyst,"Python, NLP, PyTorch",Senior,94564,Canada,25,Cloud Services
2024,Data Analyst,"Java, Spring Boot, Microservices",Entry,135426,Canada,25,Cloud Services
2024,AI Engineer,"Java, Spring Boot, Microservices",Entry,62812,US,0,Finance
2023,Cloud Engineer,"Python, TensorFlow, Deep Learning",Mid,97229,India,100,E-commerce
2022,Business Analyst,"SQL, Excel, Power BI",Senior,94256,Australia,50,Cloud Services
2022,AI Engineer,"Java, Spring Boot, Microservices",Senior,114411,UK,75,IT
2024,Data Analyst,"SQL, Excel, Power BI",Senior,114342,US,0,E-commerce
2020,Software Engineer,"Statistics, R, Data Visualization",Senior,69962,UK,25,Healthcare
2024,AI Engineer,"AWS, Azure, Cloud Computing",Senior,128982,Australia,50,Finance
2022,Data Analyst,"Java, Spring Boot, Microservices",Senior,126328,UK,100,Cloud Services
2022,ML Engineer,"SQL, Excel, Power BI",Mid,120208,Australia,0,E-commerce
2021,AI Engineer,"SQL, Excel, Power BI",Senior,84860,Australia,50,Healthcare
2020,Data Analyst,"AWS, Azure, Cloud Computing",Senior,87086,Canada,50,IT
2024,Cloud Engineer,"Python, SQL, Machine Learning",Senior,113223,Australia,25,Healthcare
2021,Software Engineer,"Python, NLP, PyTorch",Mid,71218,India,100,Finance
2024,ML Engineer,"Statistics, R, Data Visualization",Entry,80673,India,100,E-commerce
2021,Cloud Engineer,"Python, SQL, Machine Learning",Mid,144655,UK,100,Healthcare
2022,Software Engineer,"SQL, Excel, Power BI",Senior,149733,India,25,E-commerce
2022,AI Engineer,"Python, NLP, PyTorch",Mid,102918,US,25,E-commerce
2024,Data Scientist,"AWS, Azure, Cloud Computing",Entry,116613,Germany,50,E-commerce
2024,Software Engineer,"SQL, Excel, Power BI",Entry,94459,Australia,0,Cloud Services
2024,Software Engineer,"Python, TensorFlow, Deep Learning",Mid,134570,Canada,100,Healthcare
2020,Data Analyst,"Statistics, R, Data Visualization",Mid,116805,UK,75,IT
2021,ML Engineer,"Python, TensorFlow, Deep Learning",Entry,143767,Canada,0,Finance
2021,Software Engineer,"SQL, Excel, Power BI",Senior,62036,Germany,25,E-commerce
2022,Software Engineer,"Python, SQL, Machine Learning",Entry,85962,UK,25,E-commerce
2020,Data Scientist,"SQL, Excel, Power BI",Entry,79852,India,100,E-commerce
2024,Data Analyst,"Python, NLP, PyTorch",Senior,69080,Australia,50,IT
2022,Data Analyst,"AWS, Azure, Cloud Computing",Mid,119057,Germany,0,E-commerce
2022,Software Engineer,"Java, Spring Boot, Microservices",Entry,113717,Australia,75,Finance
2021,Business Analyst,"Java, Spring Boot, Microservices",Entry,107550,US,100,Cloud Services
2021,Software Engineer,"Python, NLP, PyTorch",Entry,136578,Canada,100,Finance
2023,Data Scientist,"Statistics, R, Data Visualization",Senior,64680,UK,25,IT
2024,Software Engineer,"Python, TensorFlow, Deep Learning",Senior,127653,Australia,100,IT
2022,Business Analyst,"AWS, Azure, Cloud Computing",Mid,121728,US,25,Healthcare
2021,AI Engineer,"Python, SQL, Machine Learning",Senior,111332,Australia,50,Finance
2022,Software Engineer,"SQL, Excel, Power BI",Senior,71264,Australia,50,Healthcare
2023,AI Engineer,"Statistics, R, Data Visualization",Senior,144543,UK,100,Cloud Services
2020,Business Analyst,"Statistics, R, Data Visualization",Senior,99050,India,25,Cloud Services
2022,Data Scientist,"AWS, Azure, Cloud Computing",Mid,119381,UK,25,IT
2023,Cloud Engineer,"Python, SQL, Machine Learning",Entry,133939,India,50,IT
2021,Data Analyst,"Java, Spring Boot, Microservices",Mid,149973,Australia,100,Finance
2023,AI Engineer,"Python, NLP, PyTorch",Mid,67301,US,0,IT
2021,ML Engineer,"Python, SQL, Machine Learning",Senior,137192,US,100,E-commerce
2022,Data Scientist,"AWS, Azure, Cloud Computing",Entry,131111,Germany,25,Cloud Services
2021,Data Analyst,"Python, SQL, Machine Learning",Mid,124885,UK,0,Finance
2024,Business Analyst,"SQL, Excel, Power BI",Mid,142994,Germany,75,Cloud Services
2020,Cloud Engineer,"Statistics, R, Data Visualization",Senior,119021,Germany,75,Cloud Services
2023,Cloud Engineer,"Python, NLP, PyTorch",Mid,136721,US,50,Finance
2021,Data Analyst,"AWS, Azure, Cloud Computing",Senior,120523,UK,100,Cloud Services
2023,ML Engineer,"Statistics, R, Data Visualization",Senior,144292,Australia,0,IT
2022,Data Analyst,"SQL, Excel, Power BI",Senior,133721,UK,75,E-commerce
2022,Software Engineer,"Python, NLP, PyTorch",Entry,104753,India,50,Healthcare
2024,Data Scientist,"AWS, Azure, Cloud Computing",Mid,75612,US,50,E-commerce
2021,Data Scientist,"Statistics, R, Data Visualization",Senior,106704,Germany,75,Finance
2021,Data Analyst,"Java, Spring Boot, Microservices",Senior,79713,UK,75,Cloud Services
2020,Data Scientist,"AWS, Azure, Cloud Computing",Senior,116849,India,75,E-commerce
2021,Business Analyst,"Java, Spring Boot, Microservices",Mid,133639,UK,100,IT
2021,Business Analyst,"SQL, Excel, Power BI",Senior,110168,Germany,75,E-commerce
2020,Software Engineer,"Java, Spring Boot, Microservices",Senior,85612,UK,0,E-commerce
2023,Business Analyst,"Java, Spring Boot, Microservices",Mid,103041,Germany,0,E-commerce
2023,Cloud Engineer,"Statistics, R, Data Visualization",Senior,133237,India,0,Cloud Services
2021,Data Scientist,"Java, Spring Boot, Microservices",Senior,107535,Canada,100,E-commerce
2024,Business Analyst,"Python, NLP, PyTorch",Senior,107443,Germany,50,Finance
2021,ML Engineer,"SQL, Excel, Power BI",Mid,66487,Australia,100,E-commerce
2023,Cloud Engineer,"SQL, Excel, Power BI",Entry,65707,US,25,Healthcare
2024,Data Analyst,"Python, NLP, PyTorch",Entry,140316,India,75,IT
2020,AI Engineer,"Java, Spring Boot, Microservices",Entry,131778,Germany,25,Healthcare
2023,Data Analyst,"Statistics, R, Data Visualization",Senior,143569,UK,0,IT
2024,AI Engineer,"Java, Spring Boot, Microservices",Senior,87909,India,25,IT
2022,Cloud Engineer,"Python, SQL, Machine Learning",Mid,140549,US,100,E-commerce
2024,Data Analyst,"Statistics, R, Data Visualization",Senior,68832,Canada,100,Healthcare
2021,Cloud Engineer,"Python, NLP, PyTorch",Mid,144685,UK,0,Cloud Services
2020,Cloud Engineer,"SQL, Excel, Power BI",Senior,81971,US,0,IT
2022,Cloud Engineer,"Java, Spring Boot, Microservices",Entry,104500,UK,25,Finance
2021,Cloud Engineer,"Statistics, R, Data Visualization",Mid,145089,Australia,25,Healthcare
2023,Data Scientist,"Python, TensorFlow, Deep Learning",Entry,71394,Australia,50,Healthcare
2024,Business Analyst,"SQL, Excel, Power BI",Senior,93388,UK,75,Cloud Services
2021,Cloud Engineer,"SQL, Excel, Power BI",Mid,92758,US,0,E-commerce
2023,Data Scientist,"Java, Spring Boot, Microservices",Entry,72837,Australia,100,Healthcare
2021,ML Engineer,"Python, NLP, PyTorch",Senior,89431,US,100,Healthcare
2020,Data Analyst,"AWS, Azure, Cloud Computing",Mid,120095,Germany,100,Finance
2020,Data Analyst,"AWS, Azure, Cloud Computing",Mid,65279,Germany,100,Cloud Services
2021,Data Analyst,"AWS, Azure, Cloud Computing",Senior,116963,Australia,0,Healthcare
2020,Software Engineer,"Python, NLP, PyTorch",Senior,96696,Australia,100,Cloud Services
2021,Data Scientist,"AWS, Azure, Cloud Computing",Mid,105374,Canada,50,Finance
2021,Cloud Engineer,"Python, TensorFlow, Deep Learning",Senior,101330,US,0,Cloud Services
2023,Data Analyst,"Statistics, R, Data Visualization",Entry,114589,Canada,25,E-commerce
2023,Business Analyst,"AWS, Azure, Cloud Computing",Mid,65723,Australia,75,Finance
2020,Business Analyst,"Python, SQL, Machine Learning",Mid,147304,India,25,Finance
2023,ML Engineer,"Java, Spring Boot, Microservices",Mid,149383,India,25,IT
2021,Cloud Engineer,"Java, Spring Boot, Microservices",Mid,78446,Australia,100,Cloud Services
2023,Business Analyst,"Python, TensorFlow, Deep Learning",Senior,69149,India,0,IT
2022,ML Engineer,"Java, Spring Boot, Microservices",Entry,75005,India,100,E-commerce
2024,Cloud Engineer,"Python, NLP, PyTorch",Senior,114005,US,75,E-commerce
2023,Business Analyst,"Python, TensorFlow, Deep Learning",Senior,98470,India,0,Finance
2024,AI Engineer,"Python, SQL, Machine Learning",Senior,105214,Germany,100,Cloud Services
2022,Data Analyst,"Java, Spring Boot, Microservices",Senior,134618,Canada,0,E-commerce
2022,AI Engineer,"Python, NLP, PyTorch",Senior,108593,Canada,100,Cloud Services
2024,Cloud Engineer,"Statistics, R, Data Visualization",Mid,99049,UK,75,Finance
2020,Data Scientist,"Python, NLP, PyTorch",Mid,96518,Australia,25,Finance
2022,Business Analyst,"SQL, Excel, Power BI",Mid,74398,Germany,0,Cloud Services
2023,Data Analyst,"Python, TensorFlow, Deep Learning",Entry,149865,Australia,50,E-commerce
2020,Data Scientist,"Statistics, R, Data Visualization",Mid,148291,UK,50,Finance
2023,Cloud Engineer,"Python, SQL, Machine Learning",Senior,64372,Germany,0,Finance
2022,Business Analyst,"Python, TensorFlow, Deep Learning",Senior,103623,Australia,100,Finance
2020,Data Scientist,"Python, TensorFlow, Deep Learning",Mid,71343,Australia,50,IT
2023,Data Scientist,"SQL, Excel, Power BI",Senior,90408,UK,100,Healthcare
2020,ML Engineer,"Python, SQL, Machine Learning",Senior,136681,Canada,75,Healthcare
2021,Cloud Engineer,"Python, NLP, PyTorch",Senior,139779,Canada,25,Finance
2022,ML Engineer,"Python, TensorFlow, Deep Learning",Mid,79299,India,50,E-commerce
2022,Data Analyst,"Java, Spring Boot, Microservices",Entry,71675,UK,75,E-commerce
2022,AI Engineer,"SQL, Excel, Power BI",Entry,104042,India,75,Cloud Services
2021,Data Scientist,"AWS, Azure, Cloud Computing",Mid,75753,Germany,0,Finance
2023,AI Engineer,"AWS, Azure, Cloud Computing",Mid,61118,Australia,50,IT
2021,ML Engineer,"Python, NLP, PyTorch",Senior,78232,India,25,Cloud Services
2021,Cloud Engineer,"Statistics, R, Data Visualization",Senior,145769,Germany,50,IT
2021,Business Analyst,"SQL, Excel, Power BI",Mid,105217,Germany,0,IT
2021,Cloud Engineer,"Python, SQL, Machine Learning",Entry,112652,Canada,75,Finance
2022,Software Engineer,"Python, SQL, Machine Learning",Senior,89309,India,50,Healthcare
2023,Data Scientist,"Python, NLP, PyTorch",Entry,124801,Canada,75,Cloud Services
2020,AI Engineer,"Python, NLP, PyTorch",Senior,111377,UK,25,IT
2020,ML Engineer,"Java, Spring Boot, Microservices",Entry,114592,UK,0,E-commerce
2020,ML Engineer,"Python, TensorFlow, Deep Learning",Senior,134012,Germany,75,E-commerce
2021,Software Engineer,"SQL, Excel, Power BI",Entry,130575,US,0,Cloud Services
2021,ML Engineer,"SQL, Excel, Power BI",Mid,78291,Canada,75,Healthcare
2021,Business Analyst,"Python, SQL, Machine Learning",Senior,137811,Germany,0,E-commerce
2023,ML Engineer,"AWS, Azure, Cloud Computing",Entry,112542,Germany,50,Finance
2024,Data Scientist,"Statistics, R, Data Visualization",Senior,98955,UK,25,IT
2022,ML Engineer,"SQL, Excel, Power BI",Entry,118150,India,75,IT
2020,Data Scientist,"Python, NLP, PyTorch",Entry,117194,Australia,75,Cloud Services
2023,Data Analyst,"Java, Spring Boot, Microservices",Entry,118974,India,0,IT
2023,ML Engineer,"Python, SQL, Machine Learning",Mid,136983,Canada,25,Cloud Services
2024,Data Scientist,"Python, TensorFlow, Deep Learning",Senior,118696,Australia,0,Finance
2020,Software Engineer,"Python, NLP, PyTorch",Entry,113077,UK,25,Healthcare
2020,ML Engineer,"Python, SQL, Machine Learning",Entry,124062,UK,0,IT
